,agent_activation_regime,fraction_stubborn,influence_error_distribution,influence_model,network_structure_model,population_size
325,synchronous,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
326,synchronous,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
327,synchronous,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
328,synchronous,0.5,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
329,synchronous,0.5,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
330,synchronous,0.5,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
331,synchronous,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
332,synchronous,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
333,synchronous,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
334,synchronous,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
335,synchronous,0.5,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
336,synchronous,0.5,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
337,random,0.05,none,standard_model,erdos_renyi_random(N),1000
338,random,0.05,none,standard_model,"small_world(N, 0.0, 3)",1000
339,random,0.05,none,standard_model,"small_world(N, 0.0, 10)",1000
340,random,0.05,none,standard_model,"small_world(N, 0.66, 3)",1000
341,random,0.05,none,standard_model,"small_world(N, 0.66, 10)",1000
342,random,0.05,none,standard_model,"scale_free(N, 1)",1000
343,random,0.05,none,standard_model,"scale_free(N, 5)",1000
344,random,0.05,none,similarity_bias,erdos_renyi_random(N),1000
345,random,0.05,none,similarity_bias,"small_world(N, 0.0, 3)",1000
346,random,0.05,none,similarity_bias,"small_world(N, 0.0, 10)",1000
347,random,0.05,none,similarity_bias,"small_world(N, 0.66, 3)",1000
348,random,0.05,none,similarity_bias,"small_world(N, 0.66, 10)",1000
349,random,0.05,none,similarity_bias,"scale_free(N, 1)",1000
350,random,0.05,none,similarity_bias,"scale_free(N, 5)",1000
351,random,0.05,none,attractive_repulsive,erdos_renyi_random(N),1000
352,random,0.05,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
353,random,0.05,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
354,random,0.05,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
355,random,0.05,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
356,random,0.05,none,attractive_repulsive,"scale_free(N, 1)",1000
357,random,0.05,none,attractive_repulsive,"scale_free(N, 5)",1000
358,random,0.05,none,random_adoption,erdos_renyi_random(N),1000
359,random,0.05,none,random_adoption,"small_world(N, 0.0, 3)",1000
360,random,0.05,none,random_adoption,"small_world(N, 0.0, 10)",1000
361,random,0.05,none,random_adoption,"small_world(N, 0.66, 3)",1000
362,random,0.05,none,random_adoption,"small_world(N, 0.66, 10)",1000
363,random,0.05,none,random_adoption,"scale_free(N, 1)",1000
364,random,0.05,none,random_adoption,"scale_free(N, 5)",1000
365,random,0.05,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
366,random,0.05,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
367,random,0.05,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
368,random,0.05,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
369,random,0.05,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
370,random,0.05,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
371,random,0.05,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
372,random,0.05,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
373,random,0.05,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
374,random,0.05,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
375,random,0.05,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
376,random,0.05,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
377,random,0.05,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
378,random,0.05,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
379,random,0.05,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
380,random,0.05,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
381,random,0.05,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
382,random,0.05,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
383,random,0.05,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
384,random,0.05,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
385,random,0.05,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
386,random,0.05,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
387,random,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
388,random,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
389,random,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
390,random,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
391,random,0.05,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
392,random,0.05,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
393,random,0.05,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
394,random,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
395,random,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
396,random,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
397,random,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
398,random,0.05,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
399,random,0.05,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
400,random,0.05,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
401,random,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
402,random,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
403,random,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
404,random,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
405,random,0.05,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
406,random,0.05,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
407,random,0.05,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
408,random,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
409,random,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
410,random,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
411,random,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
412,random,0.05,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
413,random,0.05,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
414,random,0.05,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
415,random,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
416,random,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
417,random,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
418,random,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
419,random,0.05,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
420,random,0.05,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
421,random,0.15,none,standard_model,erdos_renyi_random(N),1000
422,random,0.15,none,standard_model,"small_world(N, 0.0, 3)",1000
423,random,0.15,none,standard_model,"small_world(N, 0.0, 10)",1000
424,random,0.15,none,standard_model,"small_world(N, 0.66, 3)",1000
425,random,0.15,none,standard_model,"small_world(N, 0.66, 10)",1000
426,random,0.15,none,standard_model,"scale_free(N, 1)",1000
427,random,0.15,none,standard_model,"scale_free(N, 5)",1000
428,random,0.15,none,similarity_bias,erdos_renyi_random(N),1000
429,random,0.15,none,similarity_bias,"small_world(N, 0.0, 3)",1000
430,random,0.15,none,similarity_bias,"small_world(N, 0.0, 10)",1000
431,random,0.15,none,similarity_bias,"small_world(N, 0.66, 3)",1000
432,random,0.15,none,similarity_bias,"small_world(N, 0.66, 10)",1000
433,random,0.15,none,similarity_bias,"scale_free(N, 1)",1000
434,random,0.15,none,similarity_bias,"scale_free(N, 5)",1000
435,random,0.15,none,attractive_repulsive,erdos_renyi_random(N),1000
436,random,0.15,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
437,random,0.15,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
438,random,0.15,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
439,random,0.15,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
440,random,0.15,none,attractive_repulsive,"scale_free(N, 1)",1000
441,random,0.15,none,attractive_repulsive,"scale_free(N, 5)",1000
442,random,0.15,none,random_adoption,erdos_renyi_random(N),1000
443,random,0.15,none,random_adoption,"small_world(N, 0.0, 3)",1000
444,random,0.15,none,random_adoption,"small_world(N, 0.0, 10)",1000
445,random,0.15,none,random_adoption,"small_world(N, 0.66, 3)",1000
446,random,0.15,none,random_adoption,"small_world(N, 0.66, 10)",1000
447,random,0.15,none,random_adoption,"scale_free(N, 1)",1000
448,random,0.15,none,random_adoption,"scale_free(N, 5)",1000
449,random,0.15,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
450,random,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
451,random,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
452,random,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
453,random,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
454,random,0.15,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
455,random,0.15,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
456,random,0.15,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
457,random,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
458,random,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
459,random,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
460,random,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
461,random,0.15,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
462,random,0.15,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
463,random,0.15,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
464,random,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
465,random,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
466,random,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
467,random,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
468,random,0.15,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
469,random,0.15,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
470,random,0.15,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
471,random,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
472,random,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
473,random,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
474,random,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
475,random,0.15,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
476,random,0.15,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
477,random,0.15,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
478,random,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
479,random,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
480,random,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
481,random,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
482,random,0.15,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
483,random,0.15,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
484,random,0.15,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
485,random,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
486,random,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
487,random,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
488,random,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
489,random,0.15,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
490,random,0.15,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
491,random,0.15,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
492,random,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
493,random,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
494,random,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
495,random,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
496,random,0.15,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
497,random,0.15,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
498,random,0.15,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
499,random,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
500,random,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
501,random,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
502,random,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
503,random,0.15,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
504,random,0.15,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
505,random,0.33,none,standard_model,erdos_renyi_random(N),1000
506,random,0.33,none,standard_model,"small_world(N, 0.0, 3)",1000
507,random,0.33,none,standard_model,"small_world(N, 0.0, 10)",1000
508,random,0.33,none,standard_model,"small_world(N, 0.66, 3)",1000
509,random,0.33,none,standard_model,"small_world(N, 0.66, 10)",1000
510,random,0.33,none,standard_model,"scale_free(N, 1)",1000
511,random,0.33,none,standard_model,"scale_free(N, 5)",1000
512,random,0.33,none,similarity_bias,erdos_renyi_random(N),1000
513,random,0.33,none,similarity_bias,"small_world(N, 0.0, 3)",1000
514,random,0.33,none,similarity_bias,"small_world(N, 0.0, 10)",1000
515,random,0.33,none,similarity_bias,"small_world(N, 0.66, 3)",1000
516,random,0.33,none,similarity_bias,"small_world(N, 0.66, 10)",1000
517,random,0.33,none,similarity_bias,"scale_free(N, 1)",1000
518,random,0.33,none,similarity_bias,"scale_free(N, 5)",1000
519,random,0.33,none,attractive_repulsive,erdos_renyi_random(N),1000
520,random,0.33,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
521,random,0.33,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
522,random,0.33,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
523,random,0.33,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
524,random,0.33,none,attractive_repulsive,"scale_free(N, 1)",1000
525,random,0.33,none,attractive_repulsive,"scale_free(N, 5)",1000
526,random,0.33,none,random_adoption,erdos_renyi_random(N),1000
527,random,0.33,none,random_adoption,"small_world(N, 0.0, 3)",1000
528,random,0.33,none,random_adoption,"small_world(N, 0.0, 10)",1000
529,random,0.33,none,random_adoption,"small_world(N, 0.66, 3)",1000
530,random,0.33,none,random_adoption,"small_world(N, 0.66, 10)",1000
531,random,0.33,none,random_adoption,"scale_free(N, 1)",1000
532,random,0.33,none,random_adoption,"scale_free(N, 5)",1000
533,random,0.33,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
534,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
535,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
536,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
537,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
538,random,0.33,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
539,random,0.33,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
540,random,0.33,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
541,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
542,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
543,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
544,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
545,random,0.33,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
546,random,0.33,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
547,random,0.33,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
548,random,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
549,random,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
550,random,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
551,random,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
552,random,0.33,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
553,random,0.33,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
554,random,0.33,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
555,random,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
556,random,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
557,random,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
558,random,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
559,random,0.33,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
560,random,0.33,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
561,random,0.33,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
562,random,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
563,random,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
564,random,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
565,random,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
566,random,0.33,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
567,random,0.33,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
568,random,0.33,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
569,random,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
570,random,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
571,random,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
572,random,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
573,random,0.33,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
574,random,0.33,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
575,random,0.33,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
576,random,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
577,random,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
578,random,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
579,random,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
580,random,0.33,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
581,random,0.33,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
582,random,0.33,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
583,random,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
584,random,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
585,random,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
586,random,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
587,random,0.33,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
588,random,0.33,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
589,random,0.5,none,standard_model,erdos_renyi_random(N),1000
590,random,0.5,none,standard_model,"small_world(N, 0.0, 3)",1000
591,random,0.5,none,standard_model,"small_world(N, 0.0, 10)",1000
592,random,0.5,none,standard_model,"small_world(N, 0.66, 3)",1000
593,random,0.5,none,standard_model,"small_world(N, 0.66, 10)",1000
594,random,0.5,none,standard_model,"scale_free(N, 1)",1000
595,random,0.5,none,standard_model,"scale_free(N, 5)",1000
596,random,0.5,none,similarity_bias,erdos_renyi_random(N),1000
597,random,0.5,none,similarity_bias,"small_world(N, 0.0, 3)",1000
598,random,0.5,none,similarity_bias,"small_world(N, 0.0, 10)",1000
599,random,0.5,none,similarity_bias,"small_world(N, 0.66, 3)",1000
600,random,0.5,none,similarity_bias,"small_world(N, 0.66, 10)",1000
601,random,0.5,none,similarity_bias,"scale_free(N, 1)",1000
602,random,0.5,none,similarity_bias,"scale_free(N, 5)",1000
603,random,0.5,none,attractive_repulsive,erdos_renyi_random(N),1000
604,random,0.5,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
605,random,0.5,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
606,random,0.5,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
607,random,0.5,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
608,random,0.5,none,attractive_repulsive,"scale_free(N, 1)",1000
609,random,0.5,none,attractive_repulsive,"scale_free(N, 5)",1000
610,random,0.5,none,random_adoption,erdos_renyi_random(N),1000
611,random,0.5,none,random_adoption,"small_world(N, 0.0, 3)",1000
612,random,0.5,none,random_adoption,"small_world(N, 0.0, 10)",1000
613,random,0.5,none,random_adoption,"small_world(N, 0.66, 3)",1000
614,random,0.5,none,random_adoption,"small_world(N, 0.66, 10)",1000
615,random,0.5,none,random_adoption,"scale_free(N, 1)",1000
616,random,0.5,none,random_adoption,"scale_free(N, 5)",1000
617,random,0.5,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
618,random,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
619,random,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
620,random,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
621,random,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
622,random,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
623,random,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
624,random,0.5,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
625,random,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
626,random,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
627,random,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
628,random,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
629,random,0.5,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
630,random,0.5,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
631,random,0.5,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
632,random,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
633,random,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
634,random,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
635,random,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
636,random,0.5,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
637,random,0.5,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
638,random,0.5,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
639,random,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
640,random,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
641,random,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
642,random,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
643,random,0.5,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
644,random,0.5,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
645,random,0.5,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
646,random,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
647,random,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
648,random,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
649,random,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
650,random,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
651,random,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
652,random,0.5,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
653,random,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
654,random,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
655,random,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
656,random,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
657,random,0.5,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
658,random,0.5,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
659,random,0.5,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
660,random,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
661,random,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
662,random,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
663,random,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
664,random,0.5,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
665,random,0.5,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
666,random,0.5,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
667,random,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
668,random,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
669,random,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
670,random,0.5,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
